"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"internship echo api & webapp",project,2020-05-11,2020-06-12,0,0,20.91,,,,,
1.1,"Research + Discovery (click to edit)",group,2020-05-11,2020-05-18,0,0,67.86,,,,,
1.1.1,"meeting | gather requirements",task,2020-05-11,2020-05-11,0,0,100,"Andrei Lavrenov",,"Have a meeting that explains the requirements of the next assignment, what the deliverables are alongside the expectations",,green1
1.1.2,"task | define requirements",task,2020-05-11,2020-05-11,0,0,100,"Andrei Lavrenov",1.1.1,"Describe the requirements in more detail, define every feature and functionality",,green1
1.1.3,"task | functional analysis",task,2020-05-11,2020-05-12,0,0,100,"Andrei Lavrenov",1.1.2,"Split the requirements definition into separate individual tasks that describe the required functionality.",,green1
1.1.4,"task | create a gantt chart",task,2020-05-13,2020-05-14,0,0,100,"Andrei Lavrenov",1.1.3,"Using the tasks in the functional analysis, create a gantt chart of the upcoming project, with tasks, milestones etc. ",,green1
1.1.5,"meeting | finalize requirements",milestone,2020-05-15,2020-05-15,0,0,0,"Andrei Lavrenov, David Dierick",1.1.4,"Need to have a meeting with ~~Sybille~~  Dierick where we go over the requirements once again to make sure I understood things correctly and there isn't any missing functionality",,green1
1.1.6,"task | finalize gantt chart",task,2020-05-15,2020-05-15,0,0,0,"Andrei Lavrenov",1.1.5,"Bring the required changes to the chart after the meeting with Sibylle",,green1
1.1.7,"task | research existing technologies",task,2020-05-12,2020-05-18,0,0,70,"Andrei Lavrenov",,"Research what existing libraries or frameworks exist that do or help with implementing the requirements and functionality. Things like a JSON-validation library, existing UI for creating and displaying forms, and so on","[A lot of useful things have been bookmarked, I need to take the time to sort through them and make a document.  -- by: Andrei Lavrenov on 2020-05-15 06:51:20]",blue2
1.1.8,"task | select useful tech",milestone,2020-05-18,2020-05-18,0,0,0,"Andrei Lavrenov",1.1.7,"After the meeting with Sibylle/Dierick and after finalizing the requirements, take note of and choose what tech will be useful for the needs (mvp), and what should be shelved for the wants",,blue2
1.2,Design,group,2020-05-13,2020-05-18,0,0,33.33,,,,,
1.2.1,"task | wireframe",task,2020-05-13,2020-05-14,0,0,100,"Andrei Lavrenov",,"Create a rudimentary wireframe on paper to have a better understand the structure and flow of the webapp. Given the limited scope of the webapp, I do not feel a flow-chart or UML diagram is justified.  Technically, both the ""generate response"" and ""create a new template"" are visually (UI) similar, the latter simply adds the ability to change, add or remove keys and instead of generating a json body for a request, it should generate a json schema to be saved as a template. ",,purple1
1.2.2,"meeting | design check-in",milestone,2020-05-15,2020-05-15,0,0,0,"Andrei Lavrenov, David Dierick",1.2.1,"During the meeting with Dierick, discuss the wireframes and proposed structure",,blue2
1.2.3,"task | mockup design in Xd",task,2020-05-15,2020-05-18,0,0,0,"Andrei Lavrenov",1.2.2,"After the meeting that finalized the requirements, integrate the received feedback into a mockup in Xd, so you have an easily viewable template to work off during the coding phase",,blue2
1.2.4,"meeting | finalize design",milestone,2020-05-18,2020-05-18,0,0,0,"Andrei Lavrenov",1.2.3,"Send the mockup to Dierick/.. to get feedback, and finalize the design",,green1
1.3,"Sprint 1 - Template based request-frontend UI",group,2020-05-18,2020-05-28,0,0,0,,,,,
1.3.1,"task | implement generating a request",task,2020-05-18,2020-05-25,0,0,0,"Andrei Lavrenov",,"Implement a functional minimal viable product. Ignore all additional ""nice to have"" functionality and focus on the core requirements. - load templates - generate request based on template - ability to change values of keys in the request",,blue2
1.3.2,"meeting | stakeholder review / check-in",milestone,2020-05-25,2020-05-25,0,0,0,"Andrei Lavrenov, David Dierick, Sibylle Le Roye",,"Plan a meeting with Sybille or Dierick so they can check the progress and if neccesary bring in desired changes",,blue2
1.3.3,"task | polishing",task,2020-05-26,2020-05-27,0,0,0,"Andrei Lavrenov","1.3.1,1.3.2","Finish implementing functionality if that wasn't done yet and make the web-app look nice and presentable, for example by implementing bootstrap to display the forms, as it's widely used and thus will be familiar to the users. Bring in any changed talked about during the feedback. ",,blue2
1.3.4,"meeting | delivery of sprint1",milestone,2020-05-28,2020-05-28,0,0,0,"Andrei Lavrenov, David Dierick, Sibylle Le Roye",1.3.3,"Have a meeting where you show the final implementation and functionality of the service",,blue2
1.4,"Sprint 2 - Template based response-frontend UI",group,2020-05-29,2020-06-05,0,0,0,,,,,
1.4.1,"task | implement editing template",task,2020-05-29,2020-06-03,0,0,0,"Andrei Lavrenov",,"Expand upon the work in Sprint 1, and add the ability to change not just the keys, but the template itself.  Change: - key names - key nesting - key type (text, button, select, ...)  - if a key is required - change the default ""placeholder"" values - remove or add keys",,blue2
1.4.2,"meeting | stakeholder review / check-in",milestone,2020-06-03,2020-06-03,0,0,0,"Andrei Lavrenov, David Dierick, Sibylle Le Roye",,,,blue2
1.4.3,"task | polishing",task,2020-06-04,2020-06-05,0,0,0,"Andrei Lavrenov","1.4.1,1.4.2","fix issues, implement changes, finalize and get ready to deliver",,blue2
1.4.4,"meeting | delivery of sprint2",milestone,2020-06-05,2020-06-05,0,0,0,"Andrei Lavrenov",1.4.3,,,blue2
1.5,"Sprint 3 - Optional request & response structure validation",group,2020-06-08,2020-06-12,0,0,0,,,,,
1.5.1,"task | implement json validation & comparison",task,2020-06-08,2020-06-10,0,0,0,"Andrei Lavrenov",,"Add a toggle/button to both the request and template generators that will  1. Check the validity of the json 2. Check it against the template it's based on to make sure no required keys are missing and the types of the keys still match",,blue2
1.5.2,"meeting | stakeholder review / check-in",milestone,2020-06-10,2020-06-10,0,0,0,"Andrei Lavrenov, David Dierick, Sibylle Le Roye",,,,blue2
1.5.3,"task | polishing",task,2020-06-11,2020-06-12,0,0,0,"Andrei Lavrenov","1.5.1,1.5.2","fix issues, implement changes, finalize and get ready to deliver.  Eventually, add a ""show differences"" mode that will compare the two side by side and highlight the differences.",,blue2
1.5.4,"meeting | delivery of sprint3",milestone,2020-06-12,2020-06-12,0,0,0,"Andrei Lavrenov",1.5.3,,,blue2
1.6,Backlog,group,2020-06-01,2020-06-12,0,0,0,,,,,
1.6.1,"task | documentation",task,2020-06-01,2020-06-12,0,0,0,"Andrei Lavrenov",,"This is yet to be decided, but figure out what documentation (and in what format) is neccesary, and produce it",,green1
